subset,threshold,n,p,before_bd_low,before_bd_est,before_bd_high,after_bd_low,after_bd_est,after_bd_high,rel_overlap_low,rel_overlap_est,rel_overlap_high
cubs involved spring summer,500,20,0.002188875219987264,0.6518224074454931,0.803823963070791,0.9715170371567694,0.41047712069631254,0.5185424788188565,0.6390445114331972,1.1277377327848452,1.3301363878769263,1.568860169274681
diff sex,50,13,0.2834351237674471,0.43915616737427293,0.6506907306367925,0.9031532237390397,0.49533367611534723,0.7587126629852747,1.0917721083601724,0.6529020601689935,0.897607888023773,1.2340287614254968
diff sex,100,20,0.3873401480873472,0.5275609266004342,0.688593215365334,0.8707463692437075,0.5147684786276139,0.7283222222682899,0.9867587433816097,0.7518663721094284,0.9610497898185153,1.2284319830915207
diff sex,200,29,0.07622929021496126,0.5786869527411946,0.6977653795505361,0.827819098935938,0.6147151614179132,0.9379529551667034,1.3491157914006036,0.5672557762911854,0.7864803186632954,1.0904274887933483
diff sex,300,39,0.18220084193617264,0.7056544542621069,0.8216768541860229,0.9464000800648777,0.6958829910925982,0.9491761564300427,1.2512033684739419,0.6824779402454553,0.8802940490139468,1.1354471214859596
diff sex,400,41,0.29659158133745406,0.7099278137755279,0.8650091907580759,1.0370602925817167,0.6969884721623156,0.9460932416924104,1.2419561444569212,0.7058655585011311,0.9221161908339015,1.2046178753976728
diff sex,500,41,0.29659092084577704,0.709927658054312,0.8650089143238968,1.0370598728259492,0.6969884711478976,0.9460932376644766,1.2419561364647056,0.7058655405840357,0.9221161769475741,1.2046178696935255
diff sex late fall,50,7,0.1811673964518416,0.18797721650173235,0.4392935892158722,0.7954405700016695,0.20720109190779268,0.7451462186620315,1.7224613397846538,0.3650724333358688,0.7364952966157667,1.4858019187609044
diff sex late fall,100,12,0.24256968649090996,0.3851687406471512,0.5798519445800892,0.8137246122255204,0.3676784427770663,0.7311283965087343,1.252941243677602,0.5668605854255108,0.85961000765839235,1.3035469112952847
diff sex late fall,200,19,0.03877138728991632,0.49655200054644755,0.6363118776467195,0.7931388830331534,0.5380828765019512,1.0993834437785646,1.9303189231062088,0.3440302440397091,0.6293475736668894,1.1512893861583988
diff sex late fall,300,21,0.10378309352940093,0.6172421796599644,0.7721792768894186,0.9442044726794621,0.5762246510533624,1.1074715500705485,1.867330101371413,0.4068413455946724,0.7151289868630802,1.2570243250579607
diff sex late fall,400,22,0.200442776765008,0.5949651078117405,0.8469859417598341,1.1511520597636444,0.5748091495579591,1.1021528648572667,1.8531160254139376,0.42949906524910725,0.7747871439741272,1.3976633875079958
diff sex late fall,500,22,0.20044308197602395,0.5949651049582558,0.8469859348301134,1.1511520474655126,0.5748092342596229,1.1021523216275122,1.8531144122160228,0.42949907076339466,0.7747871471635773,1.3976633810706647
ff,50,7,0.10731849836358508,0.20500996215664935,0.3580356808420982,0.5530238187970182,0.3712083961276779,0.5327770746765402,0.7230784466407282,0.6816588342423326,0.8396741376031651,1.0343189612488317
ff,100,8,0.31984975250139974,0.30690181100143576,0.489680187370376,0.7144709183760573,0.39751798712277886,0.5592654513859726,0.7481911285120998,0.7438418790664525,0.9327805973744216,1.1697104819241466
ff,200,17,0.044886505184885905,0.5470496542729112,0.7690569608826086,1.0342791735286232,0.43363134042683826,0.552775008211501,0.6861609024148129,0.9855661614177332,1.2414523563898852,1.563775232470423
ff,300,19,0.3312117881698623,0.5482372549603881,0.7442514793661468,0.9748750745209686,0.4943594323274346,0.6782021729831103,0.8967295016040439,0.8347639319403438,1.068279402273208,1.36711810088455
ff,400,23,0.27534724429124613,0.5787114204588355,0.7497468038398385,0.9456199678204631,0.4979046421656651,0.6684557498193472,0.868225581121072,0.8712226626151244,1.0846865768060054,1.3504526688636964
ff,500,25,0.09449405550595114,0.6702570716683254,0.9130385677876101,1.2032679060189748,0.5377030582686314,0.7049626611800243,0.8987888388715257,0.9392311393493623,1.2313066532959263,1.6142097625735448
late fall,50,11,0.06474618165093213,0.23126601036969743,0.4382191380700023,0.7102091967993635,0.4416408335649158,0.8038668797684672,1.2941834476264746,0.4588698323013428,0.693747191588827,1.0488490023927342
late fall,100,19,0.0658566398549142,0.3949195961503499,0.5515472939570335,0.7339279969286516,0.5489414190760427,0.7783265446079679,1.0537390424296165,0.6171768078536473,0.7970967216044526,1.0294670433293915
late fall,200,29,0.09095696853776739,0.5365074121297195,0.7163052755113639,0.9245387154159999,0.6490775657821061,0.9740621148308,1.3823414816829744,0.5449104524903479,0.772783093712527,1.0959483474736291
late fall,300,33,0.14684608555182987,0.5843613270631217,0.7648255471578564,0.9725340313858637,0.6626766358303962,0.9551805397918932,1.3141334843964716,0.6008006182425626,0.8266656055541239,1.1374422772818544
late fall,400,40,0.25067869731338127,0.6570759911993047,0.8339210765228313,1.0347033355756687,0.6829272938392168,0.9466262648806589,1.262880704323983,0.6677992713447137,0.8934139896425527,1.1952522129617649
late fall,500,41,0.3811333025067108,0.6980567553092072,0.9095074556610703,1.1542251581011667,0.7056557550604303,0.9635307221140175,1.270406473192253,0.6981548527972451,0.9474100360917379,1.2856542827011201
mm,100,4,0.23793728837091288,0.23933456781208157,0.5004627814472316,0.8562759397012184,0.4060154954497601,0.6779602463294997,1.018485304204258,0.5799989919298486,0.837363122147162,1.208927960372819
mm,200,5,0.22765236109605239,0.23790986973072184,0.4897838351616852,0.8310597322869124,0.40316120110251996,0.6688458252429438,1.0006866383067556,0.5858799153537246,0.8360540707308394,1.1930540557335794
mm,300,8,0.18949398195854503,0.2399962437862359,0.4560305631461851,0.7402510415904963,0.41838967809105715,0.6293166991804477,0.8826128995624928,0.6305694938002215,0.8408969694935375,1.1213795152726542
mm,400,10,0.3225286530094997,0.3772675153655822,0.6434949534254715,0.9796402492557169,0.517750320122082,0.7454625946680011,1.0140252533154308,0.6500016049109281,0.9030587730559092,1.2546355907921134
mm,500,11,0.3225018521758579,0.3865514313714017,0.6390607719153266,0.9540138180777092,0.5125712782866989,0.7350412743153975,0.996981185991988,0.6635175643411575,0.9084817291093218,1.243884256394911
same sex,50,7,0.10731849836358508,0.20500996215664935,0.3580356808420982,0.5530238187970182,0.3712083961276779,0.5327770746765402,0.7230784466407282,0.6816588342423326,0.8396741376031651,1.0343189612488317
