bear#1,bear#2,time,sex,season_breeding,uds_before_low,uds_before_mean,uds_before_high,uds_after_low,uds_after_mean,uds_after_high,pair1_ess_before,pair2_ess_before,pair1_ess_after,pair2_ess_after
EVGF107,EVGF92,2022-06-09 11:00:18,F_F,breeding,0.3175750974342103,0.7001069012356053,0.9786159168280716,0.32237535541362855,0.5339148808295281,0.7629479367687234,5.630517720813973,9.593162006550443,13.217363165489122,36.16659006759021
EVGF107,EVGM86,2022-08-18 2:00:27,F_M,other,0.20965329245527636,0.3949751520699122,0.6321112264171829,0.3192244490062225,0.8961585419757874,1,17.971198009941617,4.590138540478063,2.691340766642226,6.324867625301897
EVGF107,EVGF96,2021-08-17 0:00:25,F_F,other,0.19113571509490904,0.42842885589248186,0.7346570381962066,0.16962388103027673,0.4492856954724994,0.8096787251735758,9.96901364391644,37.61702522247199,24.69561117012574,7.002773502166937
EVGF107,EVGF84,2022-08-22 15:00:38,F_F,other,0.27997552057497854,0.5463919281922852,0.832773298153144,0.3853635436074777,0.902481581336514,0.9999999999999896,18.636982859987317,18.515032665969844,2.538529015802949,11.772144787318236
EVGF107,EVGF115,2022-05-08 12:00:38,F_F,other,0.33955956475472754,0.930458443362306,1,0.143832349556257,0.306872297591858,0.5435972251078172,3.2542245001280454,1.7421976179689336,18.808164615784616,41.97814544374228
EVGF95,EVGM98,2020-05-29 14:00:22,F_M,other,0.34999866650119,0.7683840167890362,0.9964055866112752,0.4162545992942891,0.7188186811309717,0.9527123227421266,3.744581293362038,2.62477688753055,20.023307642404795,5.741802598808502
EVGF95,EVGF82,2020-06-22 22:01:00,F_F,breeding,0.15941876717244038,0.343041195722519,0.6012840547375672,0.301728177664835,0.6637672520475641,0.9606012304325908,9.150267572623616,11.038091234626489,15.960716442314745,5.969314054072198
EVGF95,EVGF66,2021-06-29 8:00:00,F_F,breeding,0.2814420342145784,0.483306229717388,0.7150723162429086,0.2156786995612996,0.5654431337239185,0.9236187166860816,18.873271591190427,23.681209415259413,5.7051711656285775,11.80039835648357
EVGF95,EVGF102,2020-08-07 10:00:00,F_F,other,0.09916899888775468,0.5100202125978377,0.972521554372545,0.16004480220845188,0.513692946111705,0.9185123340459284,10.777729191850606,3.952122007550926,13.363115856414884,6.272043682425747
EVGF95,EVGF97,2021-07-30 18:00:00,F_F,breeding,0.3086749257510919,0.874859996359633,0.9999999999988928,0.31295148359614383,0.8059179596752762,0.9999293244738472,12.386018739887662,1.7738178367141777,33.27752142544582,2.3088246298106614
EVGM100,EVGF57,2020-08-03 0:00:00,F_M,other,0.25776218118385485,0.42516152044514505,0.6256335247163133,0.1869492690755629,0.499945636423117,0.8685333589626151,6.602414607044871,19.84031855751197,4.388873822449583,23.737700387324715
EVGM100,EVGF73,2021-07-14 4:00:38,F_M,breeding,0.3859868317131506,0.6380080549935738,0.8745167122018062,0.192443961445324,0.7675549753097594,0.999995726285211,6.656591503247117,8.839868692584352,1.5304548594303666,14.912333976603897
EVGF60,EVGM78,2018-06-13 12:00:00,F_M,breeding,0.3930253514135804,0.7300513373162063,0.9716293096133826,0.26135869758121466,0.5648266824226992,0.8804223760438987,10.234054653183268,9.967652116758842,21.803189333508136,7.051390580907529
EVGM71,EVGF68,2017-10-24 18:00:00,F_M,hunting,0.2615374255409412,0.5740872592087274,0.8929956487105836,0.2537120316117455,0.7079011929669622,0.995140917150832,12.600334739809783,10.960481485585936,6.945231055723768,5.270098425435713
EVGM71,EVGM44,2017-11-17 6:00:00,M_M,hunting,0.4403721036266086,0.5677838489736047,0.6987151959474571,0.31612437368000046,0.7587977375054559,0.9975244700737208,22.955913988606326,55.84198753219064,6.273707281153068,1.7718559998021923
EVGM71,EVGF72,2017-10-20 18:01:00,F_M,hunting,0.20944753265648255,0.6152125027096198,0.9710119762736312,1.3844239592484316e-4,0.00410281877150693,0.05429969423795823,14.010573484102792,6.909571916926236,10.374630408421368,11.750315845481165
EVGF57,EVGF68,2017-10-16 12:00:00,F_F,hunting,0.7603147001427295,0.9602765023054266,0.9999999305180164,0.1878868167243619,0.6513933215812011,0.9930031748490824,12.083441748324308,13.603895943867808,4.457706601538678,5.430357333727399
EVGF57,EVGF68,2018-08-16 0:00:00,F_F,other,0.5370140906979202,0.7094196926603551,0.8634158575599785,0.5937307198913164,0.7619169734393889,0.9021026765190564,30.347870205690928,44.71151301943448,10.1625059148797,24.291626335726892
EVGF57,EVGF68,2019-04-21 18:01:00,F_F,other,0.03673466570083194,0.1456479704709031,0.3996129957262379,0.35906824224333805,0.5543590742012419,0.7600451964758497,13.79179584647713,2.917465523129048,5.201974831994864,16.425952537455576
EVGF57,EVGM86,2021-11-01 11:00:35,F_M,hunting,0.09026549237220229,0.29253059983047874,0.6408961269278419,0.3014747533298383,0.8254466620122326,0.9999971516088714,15.854472519960677,13.679555145046162,4.172568002158174,3.3973641205482115
EVGF57,EVGF45,2018-09-18 0:01:00,F_F,hunting,0.5173116546546843,0.8349166692595422,0.9951088706683546,0.1937355953523492,0.4175395163737013,0.7077045460206749,36.93732756471261,15.357040699333812,10.523098801374983,14.437135512952318
EVGF57,EVGF45,2019-06-16 18:00:00,F_F,breeding,0.3937810326040323,0.7058482501838675,0.9515871140446132,0.410905196796114,0.6417449669262065,0.8593046142858576,16.566267228238523,9.044470484339818,50.28795157023761,17.219921736731326
