bear#1,bear#2,time,low,est,high,sex,season_breeding,timestart,timestop,pair1_ess_before,pair2_ess_before,pair1_ess_after,pair2_ess_after
EVGF92,EVGF84,2022-09-08 23:00:21,103.1091183,106.26639,109.446969,F_F,hunting,2022-04-23 15:00:39,2022-09-25 17:00:30,40.11406052531823,17.689624160144056,14.414415958300422,5.326458081513374
EVGF92,EVGM77,2019-09-26 2:00:00,15.76058477,15.76058477,15.76058477,F_M,hunting,2019-09-18 0:00:00,2019-11-30 23:40:00,12.252895466915083,1.9031403217555385,63.5941706143719,7.06590983926374
EVGF92,EVGF116,2021-10-06 7:00:21,7.684058292,9.716127106,11.86070692,F_F,hunting,2021-09-28 1:00:44,2021-11-28 8:00:46,7.761501077803694,1.5701358782319357,25.89011924056996,6.331693921276244
EVGF92,EVGF116,2022-07-19 11:00:37,26.53432486,26.75782104,26.98177844,F_F,breeding,2022-04-21 11:00:44,2022-09-25 17:00:30,18.41651948489044,7.232760353591807,36.91194767715284,22.32053993276344
EVGF92,EVGF115,2021-11-07 2:00:11,223.6309336,227.5523065,231.4904142,F_F,hunting,2021-09-25 23:00:37,2021-11-16 0:00:37,32.00486844831056,23.808898658511428,4.274203082060991,3.790973681124574
EVGF92,EVGF115,2022-05-11 21:00:44,29.82282298,32.03724401,34.29012878,F_F,other,2022-04-16 9:00:37,2022-09-25 11:00:44,3.3699625780582334,1.8770701142725927,49.44867241974192,44.37193888441562
EVGF92,EVGF102,2019-10-19 6:00:00,305.5844355,305.5844355,305.5844355,F_F,hunting,2019-09-22 22:00:00,2019-11-02 18:01:00,55.3190927792981,7.661847619878493,15.784075837147494,3.249622885387246
EVGM98,EVGF82,2019-10-07 20:00:00,16.51026417,19.06165939,21.70075235,F_M,hunting,2019-09-17 22:01:02,2019-11-30 6:01:00,4.435109994898103,2.544165713477175,4.607658618874111,5.878604486107276
EVGM98,EVGF82,2020-07-06 6:00:00,171.8141047,176.9920272,182.2075825,F_M,breeding,2020-04-28 0:00:00,2020-09-29 16:00:29,4.590392892617584,8.985995700358783,4.069399385273206,7.781798910150504
EVGM98,EVGF102,2020-08-27 18:01:38,319.4795402,337.9262095,356.6248299,F_M,other,2020-04-27 14:03:00,2020-09-29 16:00:29,3.5853669470538163,5.650210224668698,3.3712466995986974,4.0063926803349865
EVGM98,EVGF97,2019-10-01 4:00:26,132.8736333,137.0641477,141.2865022,F_M,hunting,2019-09-18 0:00:14,2019-11-10 7:01:46,4.63579965555534,1.6815371015176253,5.308376327404814,12.432099192217803
EVGM98,EVGF97,2020-09-13 22:00:00,92.23690999,96.4041325,100.6162795,F_M,hunting,2020-04-29 0:00:39,2020-09-29 16:00:29,5.3619179072239405,26.26811087085704,3.493077733674481,4.046233939625178
EVGF82,EVGM89,2018-10-16 6:00:00,76.05260672,76.05260672,76.05260672,F_M,hunting,2018-09-28 0:00:00,2018-11-12 11:00:00,6.0599704329772,6.555603795531647,5.01288300517064,13.60098588675842
EVGF82,EVGF97,2020-09-05 14:00:00,143.3322301,152.9268387,162.6724275,F_F,hunting,2020-04-22 2:01:00,2020-11-02 11:01:00,35.25261643438491,23.231840982432654,5.482573510556989,20.386163052186017
EVGF68,EVGM44,2017-09-28 0:01:00,269.2824901,291.1090602,313.3476175,F_M,hunting,2017-09-21 6:00:00,2017-10-31 12:00:00,1.670095366835424,7.32220028881661,15.132089454199898,38.952409230283685
EVGM86,EVGM113,2022-06-10 7:01:08,133.3457126,452.0992866,862.9067636,M_M,breeding,2022-05-02 13:01:06,2022-09-25 17:00:16,5.125266354514512,2.784218247023986,4.927752646549553,9.872405607006442
EVGM86,EVGF109,2020-10-03 8:00:19,85.42646668,88.94154905,92.49124126,F_M,hunting,2020-09-27 2:00:00,2020-11-01 19:00:00,5.419283835500451,3.41815352372677,13.30574299076934,11.737923068109684
EVGM86,EVGF109,2021-08-24 20:01:00,4.771415533,10.10312492,16.35818039,F_M,other,2021-05-04 0:00:00,2021-11-04 22:00:09,6.361637956241672,29.31446503922023,26.117136737957377,53.529891263346286
EVGM86,EVGF109,2022-07-19 0:00:38,41.55750982,237.3634153,517.3131199,F_M,breeding,2022-04-26 22:00:54,2022-09-25 16:00:21,4.420701312129242,68.18997701591614,4.9126968316399795,35.13697520194106
EVGM86,EVGF84,2021-10-24 18:00:27,33.02458186,185.9037133,403.8533118,F_M,hunting,2021-09-29 1:00:36,2021-11-15 23:00:52,12.169625424964128,13.641831379024897,3.826901826771119,9.783717803015673
EVGM86,EVGF84,2022-08-24 18:00:18,54.3068979,247.7157461,512.1795199,F_M,other,2022-04-26 22:00:54,2022-09-25 16:00:21,4.757972117631822,17.353827445162604,5.322986625524655,10.799104358163971
EVGM86,EVGM106,2021-07-01 12:00:25,92.07598182,95.28709725,98.52512873,M_M,breeding,2021-04-20 16:02:57,2021-09-25 16:00:38,3.644315913443912,14.76933682629783,5.363107916278694,22.572615722429504
EVGM86,EVGM77,2018-10-18 6:00:00,92.7785331,92.77853575,92.77853839,M_M,hunting,2018-09-24 0:00:00,2018-10-23 12:00:00,2.741259334512257,2.8207950246873095,1.4113532549561043,3.7992607902197544
