split,subset,low,est,high
before,all,0.491795669930776,0.6961205115927249,0.9646759150088802
after,all,0.999481822531442,1.41768792028117,1.93951823435475
before,same,0.412592019858181,0.6911845139303538,1.1070495784165402
after,same,0.83818411083005,1.4070986026943695,2.18996240454951
before,diff,0.4003794933431501,0.676250072470738,1.0952593106124897
after,diff,0.850600984892425,1.4337588823948197,2.2313841295424104
before,diffhunting,0.23514301471632504,0.37954616979847206,0.5727717583116761
after,diffhunting,1.70427562749857,2.703169788777961,4.13595808412997
