split,n,subset,threshold,p,low,est,high
before,27,all,50,0.0393825307847826,0.42907997857225,0.546509879211463,0.67792820977093
after,27,all,50,0.0393825307847826,0.566491661465091,0.742088157373834,0.946497795726582
before,44,all,100,0.0446076197848531,0.491308174331472,0.587853056978102,0.692929779373246
after,44,all,100,0.0446076197848531,0.598922624558173,0.736980218629362,0.89160534555214
before,68,all,200,0.120386598454707,0.585442460854464,0.685935136560014,0.794781435914237
after,68,all,200,0.120386598454707,0.64426382981478,0.797051808203635,0.969328787673356
before,88,all,300,0.071374040648116,0.639638187872452,0.734903396085344,0.837207277876829
after,88,all,300,0.071374040648116,0.723602721237078,0.862591317075257,1.01612475877028
before,97,all,400,0.129097415327391,0.666780965444856,0.765486037253874,0.871573551905587
after,97,all,400,0.129097415327391,0.72957289963068,0.863569699694218,1.01089936242853
before,103,all,500,0.243681603661163,0.696919716901838,0.808939614485042,0.930314915771485
after,103,all,500,0.243681603661163,0.742418065131224,0.87185864697396,1.01353038575757
before,15,cubs,50,0.0704395855241928,0.314221718681948,0.496535008067188,0.719887923699452
after,15,cubs,50,0.0704395855241928,0.525729124122785,0.747286440921527,1.01446920937061
before,21,cubs,100,0.201411138841519,0.446874772685709,0.628466844649805,0.840537751469722
after,21,cubs,100,0.201411138841519,0.569777481370738,0.751211205929062,0.960972894150505
before,39,cubs,200,0.319329031380093,0.58996954276775,0.74979840471701,0.929980364240157
after,39,cubs,200,0.319329031380093,0.569251819171552,0.698657313986078,0.842416684129583
before,49,cubs,300,0.294815398889445,0.644546328088793,0.79635547189191,0.965746668799243
after,49,cubs,300,0.294815398889445,0.616885722833287,0.740532666906469,0.876317161362225
before,53,cubs,400,0.276936917537936,0.65605343950687,0.79470454965236,0.94775742981328
after,53,cubs,400,0.276936917537936,0.617331922638859,0.737093381202777,0.868198966602356
before,56,cubs,500,0.258972548156738,0.681947896525843,0.848313500829128,1.03550997452622
after,56,cubs,500,0.258972548156738,0.655995912897245,0.77837200664712,0.912007981341687
before,17,diff sex,50,0.126157079427812,0.435026045746245,0.627432119003127,0.854517242040022
after,17,diff sex,50,0.126157079427812,0.570665534922467,0.833907432947525,1.15925366026459
before,26,diff sex,100,0.126762433262867,0.505377577078183,0.643362987348136,0.797751104950142
after,26,diff sex,100,0.126762433262867,0.584955865633616,0.793646888444142,1.04064545998169
before,39,diff sex,200,0.0255696443044787,0.56005825720253,0.665903141399129,0.780773460432883
after,39,diff sex,200,0.0255696443044787,0.667034592184482,0.93666208424818,1.26324790082368
before,52,diff sex,300,0.0531714597563088,0.675332263879597,0.780489432776841,0.893144119431423
after,52,diff sex,300,0.0531714597563088,0.756226115188042,0.976227430185329,1.23034773861813
before,55,diff sex,400,0.117751110547279,0.675099456128391,0.81489573184706,0.968998738544261
after,55,diff sex,400,0.117751110547279,0.757575970235573,0.973774491825999,1.22263544181594
before,57,diff sex,500,0.109104676984171,0.670669514015806,0.809167644014412,0.961779797701983
after,57,diff sex,500,0.109104676984171,0.757200055303025,0.973271604169745,1.22177396355788
before,9,diff sex late fall,50,0.00315324522827988,0.234290578877362,0.464938430969635,0.773297649815437
after,9,diff sex late fall,50,0.00315324522827988,1.00234524179351,1.29996444929752,1.63568366015793
before,15,diff sex late fall,100,0.0895389537652771,0.407635866878279,0.567398674951925,0.753166319918829
after,15,diff sex late fall,100,0.0895389537652771,0.460831927030192,0.845983290737212,1.37583042554441
before,24,diff sex late fall,200,0.0201765733538706,0.49994065674634,0.62478553764628,0.763335991357448
after,24,diff sex late fall,200,0.0201765733538706,0.588884756147173,1.10270988081989,1.82450822890486
before,29,diff sex late fall,300,0.0265965046742975,0.602573131184267,0.738910298711029,0.88894355849441
after,29,diff sex late fall,300,0.0265965046742975,0.707343630242067,1.15719047608245,1.74646320268545
before,30,diff sex late fall,400,0.0798343306154726,0.588622315473513,0.800608722568417,1.04953150558526
after,30,diff sex late fall,400,0.0798343306154726,0.706210318052882,1.15497048628198,1.74172885643283
