subset,low,est,high,threshold
all,0.6053544017640289,0.7630439135139351,0.96181015988981,50
same,0.7488496251908501,0.9128508267482712,1.11276897772718,50
diff,0.49264891220103296,0.707789815112703,1.01688324072224,50
hunting,0.32908150853632395,0.441902418204133,0.5934023703829778,50
breeding,0.608072071529209,0.836444930060632,1.1505874941183305,50
diffhunting,0.21559131495296904,0.31821012415447303,0.46967422197176406,50
all,0.6837007843227199,0.816075240226661,0.974079323853236,100
same,0.7265294509077579,0.8687205610661811,1.0387402909492698,100
diff,0.615755133956545,0.803855241191155,1.0494159336332802,100
hunting,0.500529494101428,0.647085163617498,0.8365525186993951,100
breeding,0.611664493040271,0.837808889944619,1.14756331952723,100
diffhunting,0.385976123491579,0.50512203986538,0.6610467840592448,100
all,0.634142513756118,0.8049695535842221,1.0218144472912298,200
same,0.9099621049558668,1.1222332785188,1.38402195493199,200
diff,0.446352842143713,0.6629065039747849,0.984523882275588,200
hunting,0.43941406894562113,0.6371205144690071,0.9237814140345292,200
breeding,0.551516201688477,0.9449780924806062,1.61914299622459,200
diffhunting,0.260509702808957,0.4996897118099531,0.958466442502614,200
all,0.6699010656222899,0.8612748082811912,1.1073191750945,300
same,0.880633004151117,1.16342590586826,1.5370305587741897,300
diff,0.4885408352096711,0.717086424903591,1.0525485358052502,300
hunting,0.39936053558197704,0.6222680027406609,0.9695937197965,300
breeding,0.6624962478524818,0.964160252541652,1.4031852943990997,300
diffhunting,0.24460974184812903,0.5092556075390972,1.0602246331261498,300
all,0.7111710413831731,0.90093745408884,1.1413404778144698,400
same,0.8934571561813569,1.1415821542239302,1.45861478172327,400
diff,0.5269208145062071,0.767379689049082,1.1175713142342198,400
hunting,0.47905952099953303,0.7075861758950587,1.0451273262937202,400
breeding,0.6624962447785678,0.9641602173674,1.4031851985284298,400
diffhunting,0.281069224361905,0.5733944107137361,1.1697515122268,400
all,0.7382167465866799,0.9265225365471772,1.1628617404021695,500
same,0.931988084185331,1.1809803597327102,1.4964940365021298,500
diff,0.5335081004134801,0.770041955744318,1.1114444431995898,500
hunting,0.5072042706133811,0.7385728221069009,1.07548347906312,500
breeding,0.6745457245101669,0.963728997764707,1.37688750722868,500
diffhunting,0.318902006586051,0.609078008481809,1.16329158410631,500
