pair1,pair2,time,dist,trackstart,trackstop
Chandler,Stu,2022-09-10 2:00:11,279.2894013,2022-04-26 22:00:54,2022-09-25 17:00:20
Chandler,Stu,2021-09-30 1:00:13,386.2345931,2021-09-22 23:00:14,2021-11-16 0:00:24
Chandler,Tim,2020-10-18 18:00:00,391.9665985,2020-09-28 6:00:00,2020-11-16 1:01:00
Colton,Esme,2021-10-16 3:00:22,199.3137425,2021-09-24 0:00:36,2021-11-15 23:00:37
Colton,Stu,2022-06-23 0:00:13,250.7041099,2022-04-29 22:05:57,2022-09-25 16:00:19
Dan,Esme,2021-10-17 11:00:38,47.29081211,2021-09-21 23:00:12,2021-11-18 0:00:59
Dan,Esme,2022-05-17 19:00:10,100.3811472,2022-05-02 13:01:06,2022-09-25 17:01:02
Dan,EVGF84,2022-06-06T09:00:33Z,21.2302298,2022-04-24 23:04:08,2022-09-25 17:00:16
Dan,EVGF84,2021-11-05 11:00:37,314.0118537,2021-09-28 23:00:38,2021-11-16 0:00:16
Dan,Stu,2022-08-11 21:00:12,217.1010908,2022-05-02 13:01:06,2022-09-25 17:00:20
Elaine,EVGF84,2022-08-02 6:00:46,216.8894693,2022-04-15 10:02:47,2022-09-25 16:00:21
Elaine,Finn,2021-06-30 12:00:38,172.0574493,2021-05-06 14:01:06,2021-09-25 16:00:38
Elaine,Gums,2019-10-16 16:00:12,273.5485927,2019-09-18 0:00:00,2019-11-02 14:00:21
Esme,EVGF84,2022-06-13 21:00:38,289.5483925,2022-04-21 15:00:38,2022-09-25 17:01:02
Esme,Finn,2021-09-02 4:00:12,342.9128272,2021-04-20 16:02:57,2021-09-25 16:00:38
Esme,Stu,2022-06-15 21:00:36,12.0346063,2022-04-18 15:02:30,2022-09-25 17:00:20
Esme,Stu,2020-10-03 4:01:00,144.1927652,2020-09-28 22:00:00,2020-10-30 18:01:00
Esme,Stu,2021-10-11 1:00:11,109.5161073,2021-09-22 23:00:14,2021-11-01 23:01:32
EVGF84,Stu,2022-06-02 9:00:17,229.5990829,2022-04-23 13:02:29,2022-09-25 17:00:20
Finn,Kathy,2021-07-23 8:00:56,135.9582558,2021-04-20 16:02:57,2021-09-15 6:00:58
Finn,Polly,2020-11-02 9:00:30,272.6446818,2020-09-20 22:00:14,2020-11-13 5:03:00
Gums,Monica,2019-09-26T00:00:00Z,44.4743279,2019-09-18 0:00:00,2019-11-13 23:00:00
Gums,Monica,2018-10-19 0:00:00,57.70228,2018-09-23 0:00:00,2018-10-23 12:00:00
Gums,Olson,2018-10-19T06:00:00Z,74.4011061,2018-05-07 0:00:00,2018-11-21 6:01:00
Gums,Polly,2019-10-19 6:00:00,114.5879655,2019-09-22 22:00:00,2019-11-03 11:00:00
Gums,Russ,2018-06-02 12:00:00,39.568553,2018-05-07 0:00:00,2018-06-04 12:00:00
Hartley,Mike,2017-09-25 2:00:00,170.1070642,2017-09-13 6:00:00,2017-10-15 12:00:00
Hartley,Trish,2017-10-07 0:00:00,256.4114457,2017-08-26 23:54:00,2017-10-15 12:00:00
Jerry,Melissa,2018-10-07 18:01:00,259.4718118,2018-04-23 14:00:00,2018-10-31 18:00:00
Jerry,Monica,2018-10-15T18:00:00Z,88.3239226,2018-09-23 0:00:00,2018-11-19 11:00:00
Jerry,Olson,2018-10-17 6:00:00,82.0206,2018-05-10 0:00:00,2018-11-14 23:01:00
Kathy,Olson,2017-09-20 18:00:00,441.8524869,2017-09-13 0:00:00,2017-10-31 15:00:37
Kathy,Tim,2020-10-03 6:00:38,203.2535338,2020-09-28 6:00:00,2020-11-12 17:00:29
Kim,Patty,2022-08-13 1:00:36,117.2482609,2022-04-21 11:00:44,2022-09-25 17:01:08
Laura,Olson,2017-05-25 6:00:00,9.073547637,2017-05-20 0:00:00,2017-09-09 13:42:00
Monica,Olson,2018-10-18T18:00:00Z,88.2545997,2018-09-23 0:00:00,2018-11-21 6:01:00
Monica,Polly,2019-10-19 6:00:00,304.5912669,2019-09-22 22:00:00,2019-11-02 18:01:00
Olson,Phoebe,2017-10-27 18:00:00,405.403158,2017-09-21 6:01:00,2017-10-31 12:00:00
Olson,Trish,2018-06-20 0:00:00,3.905933,2018-05-31 0:00:00,2018-06-28 12:00:00
Olson,Trish,2017-10-16 6:01:00,164.9445308,2017-08-26 23:54:00,2017-11-01 7:00:00
Phoebe,Trish,2017-10-11T00:00:00Z,21.3768274,2017-09-21 6:01:00,2017-11-06 6:00:00
Polly,Tim,2020-11-04T01:00:00Z,27.0000596,2020-09-28 6:00:00,2020-11-16 13:00:00
Sam,Trish,2018-07-30 0:00:00,265.1758361,2018-05-31 0:00:00,2018-08-24 12:00:00
