split,subset,low,est,high
before,all,0.53301794060999,0.72805347635706,0.9765383854880139
after,all,0.994061273350557,1.35988314500087,1.80809613346387
before,same,0.522233790184431,0.7841444318801679,1.1264119202895502
after,same,0.8712749459963439,1.2999617715051197,1.8770499684839201
before,mm,0.4135384073852571,0.7579221071626939,1.2995951213015402
after,mm,0.7343223292579457,1.37707004226855,2.32192524688325
before,ff,0.320753922993902,0.6382877086978299,1.0982520282847603
after,ff,0.8729136182525732,1.6446832465760401,2.9428466355609393
before,diff,0.46637420546106007,0.721149671824809,1.08108922724652
after,diff,0.8758314146507803,1.35722952217107,1.98730782397442
before,hunting,0.369205559939493,0.5441472936483331,0.7795876040699999
after,hunting,1.2282058003288001,1.81137932911821,2.5611508735474504
before,breeding,0.37414646131715507,0.764993204869024,1.34277899527402
after,breeding,0.7112977047724558,1.37746383669242,2.5124258590956097
before,diffhunting,0.297251590222585,0.45065324436141696,0.647569064471505
after,diffhunting,1.51611671393208,2.262997826950351,3.2932470748354703
